id,department,project_name,scope_of_work,pm_department,project_status,neighborhood,authorization_existing,authorization_fy,authorization_future,grant_existing,grant_fy,grant_future,go_expended,capital_year_0,capital_year_1,capital_year_25,grant_expended,grant_year_0,grant_year_1,grant_year_25,external_funds,total_project_budget,sum_authorization
1,Boston Centers For Youth And Families,Bcyf Security And Technology Upgrades,Improvements To Technology Infrastructure And Security Systems Including Cameras At All Stand Alone Sites.,Boston Centers For Youth And Families,To Be Scheduled,Citywide,2000000,0,0,0,0,0,0.0,0,0,2000000.0,0.0,0,0,0.0,0,2000000,2000000
2,Boston Centers For Youth And Families,Bcyf Tobin Community Center Retaining Wall,Repair Or Replace The Retaining Wall Adjacent To The Bcyf Tobin Community Center.,Public Facilities Department,In Design,Mission Hill,1800000,0,0,0,0,0,84629.0,139188,400000,1176183.0,0.0,0,0,0.0,0,1800000,1800000
3,Boston Centers For Youth And Families,Bcyf North End Community Center,Design And Construct A New North End Community Center.,Public Facilities Department,In Design,North End,68000000,0,0,0,0,0,9500.0,1000000,2000000,64990500.0,0.0,0,0,0.0,20000000,88000000,68000000
4,Boston Centers For Youth And Families,Pool Repairs,"Renovate And Upgrade Locker Rooms And Pools Including Filtration Systems, Pool Liners, And Dehumidification And Hvac Systems At Various Bcyf/Bps Pool Facilities.",Boston Centers For Youth And Families,Annual Program,Citywide,2300000,2700000,0,0,0,0,886590.0,500000,1000000,2613410.0,0.0,0,0,0.0,0,5000000,5000000
5,Boston Centers For Youth And Families,Youth Budget Round 4,"Engage Youth Across The City Using Participatory Budgeting Methods. Projects Include A Performing And Visual Arts Studio, A Digital Billboard Displaying Resources For Homeless Youth, And A Future Media Center.",Youth Engagement And Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,28500.0,13815,0,957685.0,0.0,0,0,0.0,0,1000000,1000000
6,Boston Centers For Youth And Families,Youth Budget Round 5,Engage Youth Across The City Using Participatory Budgeting Methods. Project Include A Youth Wi-Fi Lounge And Adding Solar Panels On City Buildings.,Youth Engagement And Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
7,Boston Centers For Youth And Families,Youth Budget Round 6,"Engage Youth Across The City Using Participatory Budgeting Methods. Projects Include Water Bottle Refill Stations In Parks, Recycling And Trash Bins Along Streets, And Installing Solar-Powered Benches With Usb Charging Stations At Bus Stops.",Youth Engagement And Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,735537.0,250000,0,14463.0,0.0,0,0,0.0,0,1000000,1000000
8,Boston Centers For Youth And Families,Youth Budget Round 7,"Engage Youth Across The City Using Participatory Budgeting Methods. Projects Include Planting Trees Around The City, Investing In Improvements At The Woods Mullen Shelter, And Investing In Local Urban Farming.",Youth Engagement And Advancement,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.0,81854,0,918146.0,0.0,0,0,0.0,0,1000000,1000000
9,Boston Centers For Youth And Families,Youth Budget Round 8,"Engage Youth Across The City To Create A Capital ""Youth Budget"", Using Participatory Budgeting Methods.",Youth Engagement And Advancement,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
10,Boston Centers For Youth And Families,Bcyf Hyde Park Community Center,"Interior And Exterior Building Renovation Including Improvements To Athletic Facilities, Redesign Of The Front Entrance, Window And Door Replacements, And Other Facility Upgrades To Enable Using The Facility As A Sheltering Site Year-Round.",Public Facilities Department,In Design,Hyde Park,1000000,0,0,0,0,0,0.0,50000,400000,550000.0,0.0,0,0,0.0,0,1000000,1000000
11,Boston Centers For Youth And Families,Bcyf Roslindale Community Center,"Interior And Exterior Building Renovation Including Improvements To Athletic Facilities, Redesign The Front Entrance, Window And Door Replacements, And Other Facility Upgrades To Enable Using The Facility As A Sheltering Site Year-Round.",Public Facilities Department,To Be Scheduled,Roslindale,1000000,0,0,0,0,0,24000.0,0,0,976000.0,0.0,0,0,0.0,0,1000000,1000000
12,Boston Centers For Youth And Families,Youth Budget Round 9,"Engage Youth Across The City To Create A Capital ""Youth Budget"", Using Participatory Budgeting Methods.",Youth Engagement And Advancement,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
