id,cabinet,department,program,expense_category,fy22_actual,fy23_actual,fy24_appropriation,fy25_budget
1,Mayor'S Cabinet,Mayor'S Office,Mayor'S Administration,Personnel Services,1624903.69,2374448.36,1921403.81,2217748.39
2,Mayor'S Cabinet,Mayor'S Office,Mayor'S Administration,Contractual Services,284597.9,383743.11,219633.42,234628.0
3,Mayor'S Cabinet,Mayor'S Office,Mayor'S Administration,Supplies & Materials,28541.55,74491.63,55573.65,60000.0
4,Mayor'S Cabinet,Mayor'S Office,Mayor'S Administration,Current Charges & Obligations,19410.3,25350.83,16734.29,20000.0
5,Mayor'S Cabinet,Mayor'S Office,Mayor'S Administration,Equipment,16164.36,44132.61,36115.0,53000.0
6,Mayor'S Cabinet,Mayor'S Office,Mayor'S Executive,Personnel Services,583859.32,374100.89,387298.7,386249.77
7,Mayor'S Cabinet,Mayor'S Office,Mayor'S Executive,Contractual Services,0.0,936.0,0.0,1404.0
8,Mayor'S Cabinet,Mayor'S Office,Mayor'S Policy & Planning,Personnel Services,768993.95,2598928.91,1464593.36,1226631.64
9,Mayor'S Cabinet,Mayor'S Office,Mayor'S Policy & Planning,Contractual Services,253549.07,16559.28,174000.0,113458.0
10,Mayor'S Cabinet,Mayor'S Office,Mayor'S Policy & Planning,Supplies & Materials,0.0,0.0,3000.0,6000.0
11,Mayor'S Cabinet,Mayor'S Office,Mayor'S Policy & Planning,Current Charges & Obligations,1685.9,1003.59,2000.0,3000.0
12,Mayor'S Cabinet,Mayor'S Office,New Urban Mechanics,Personnel Services,438308.77,571746.0,669210.36,697709.9
13,Mayor'S Cabinet,Mayor'S Office,New Urban Mechanics,Contractual Services,583.44,22149.88,100000.0,87106.0
14,Mayor'S Cabinet,Mayor'S Office,New Urban Mechanics,Supplies & Materials,164.98,2817.3,6361.0,6500.0
15,Mayor'S Cabinet,Mayor'S Office,New Urban Mechanics,Current Charges & Obligations,1190.52,3475.96,4500.0,5000.0
16,Mayor'S Cabinet,Mayor'S Office,New Urban Mechanics,Equipment,22128.0,55.47,22000.0,22500.0
17,Mayor'S Cabinet,Mayor'S Office,Mayor'S Communications,Personnel Services,762365.75,1095489.35,1349000.7,1573762.78
18,Mayor'S Cabinet,Mayor'S Office,Mayor'S Communications,Contractual Services,123.21,4977.95,70500.0,86054.0
19,Mayor'S Cabinet,Mayor'S Office,Mayor'S Communications,Supplies & Materials,0.0,55.26,3000.0,3000.0
20,Mayor'S Cabinet,Mayor'S Office,Mayor'S Communications,Current Charges & Obligations,980.0,191.9,1000.0,4000.0
21,Mayor'S Cabinet,Mayor'S Office,Mayor'S Communications,Equipment,0.0,86.05,22500.0,37717.6
22,Mayor'S Cabinet,Election Division,Election Division,Personnel Services,3297454.25,3300884.34,4033419.74,3698618.04
23,Mayor'S Cabinet,Election Division,Election Division,Contractual Services,841673.6,818503.53,1136484.81,760775.2
24,Mayor'S Cabinet,Election Division,Election Division,Supplies & Materials,815739.75,521024.93,1385303.0,862434.99
25,Mayor'S Cabinet,Election Division,Election Division,Current Charges & Obligations,70739.98,123766.79,203924.0,165200.0
26,Mayor'S Cabinet,Election Division,Election Division,Equipment,353922.49,372058.55,225999.24,88703.0
27,Mayor'S Cabinet,Listing Board,Listing Board,Personnel Services,289834.32,331965.42,461393.96,487292.17
28,Mayor'S Cabinet,Listing Board,Listing Board,Contractual Services,36514.14,13720.4,60404.0,70404.0
29,Mayor'S Cabinet,Listing Board,Listing Board,Supplies & Materials,245386.94,255694.81,285700.0,303300.0
30,Mayor'S Cabinet,Intergovernmental Relations,Igr,Personnel Services,677057.29,800998.59,919295.96,982069.04
31,Mayor'S Cabinet,Intergovernmental Relations,Igr,Contractual Services,181763.77,25910.05,41161.0,161161.0
32,Mayor'S Cabinet,Intergovernmental Relations,Igr,Supplies & Materials,4063.22,2429.04,6200.0,6200.0
33,Mayor'S Cabinet,Intergovernmental Relations,Igr,Current Charges & Obligations,192661.08,157840.31,158209.0,161976.0
34,Mayor'S Cabinet,Intergovernmental Relations,Igr,Equipment,0.0,10398.28,0.0,0.0
35,Mayor'S Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,113796.23,105189.78,114856.55,0.0
36,Mayor'S Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,198.21,301.79,300.0,0.0
37,Mayor'S Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,300.0,300.0,330.0,0.0
38,Mayor'S Cabinet,Law Department,Law Operations,Personnel Services,1720068.17,1339388.77,1730875.2,1774155.91
39,Mayor'S Cabinet,Law Department,Law Operations,Contractual Services,318348.31,540744.6,284989.2,212085.0
40,Mayor'S Cabinet,Law Department,Law Operations,Supplies & Materials,11120.92,12023.33,18650.0,13650.0
41,Mayor'S Cabinet,Law Department,Law Operations,Current Charges & Obligations,49673.26,86066.89,105159.0,134500.0
42,Mayor'S Cabinet,Law Department,Law Operations,Equipment,660.0,10415.0,0.0,0.0
43,Mayor'S Cabinet,Law Department,Litigation,Personnel Services,728780.69,1154598.72,1493350.64,1614337.72
44,Mayor'S Cabinet,Law Department,Litigation,Contractual Services,2348433.15,2436853.9,1832339.0,1867458.0
45,Mayor'S Cabinet,Law Department,Litigation,Supplies & Materials,1210.44,49.97,0.0,2500.0
46,Mayor'S Cabinet,Law Department,Litigation,Current Charges & Obligations,7387.21,19454.98,23270.0,10000.0
47,Mayor'S Cabinet,Law Department,Litigation,Equipment,2535.0,0.0,0.0,0.0
48,Mayor'S Cabinet,Law Department,Government Services,Personnel Services,2974614.11,4102142.35,4975153.76,5379317.57
49,Mayor'S Cabinet,Law Department,Government Services,Contractual Services,36453.06,29442.26,87754.2,118558.0
50,Mayor'S Cabinet,Law Department,Government Services,Supplies & Materials,902.55,271.96,0.0,2500.0
51,Mayor'S Cabinet,Law Department,Government Services,Current Charges & Obligations,23801.57,14817.35,26100.0,20000.0
52,Mayor'S Cabinet,Law Department,Government Services,Equipment,3171.0,0.0,0.0,0.0
53,Equity & Inclusion Cabinet,Office Of Equity,Equity,Personnel Services,379820.05,759366.0,1581279.74,2211129.85
54,Equity & Inclusion Cabinet,Office Of Equity,Equity,Contractual Services,15435.08,85230.52,938010.0,1043378.21
55,Equity & Inclusion Cabinet,Office Of Equity,Equity,Supplies & Materials,1462.83,19355.86,32100.0,29500.0
56,Equity & Inclusion Cabinet,Office Of Equity,Equity,Current Charges & Obligations,2179.88,3730.43,4533.0,5322.14
57,Equity & Inclusion Cabinet,Office Of Equity,Equity,Equipment,16636.2,13102.23,1249.0,1249.0
58,Equity & Inclusion Cabinet,Office Of Equity,Equity & Inclusion,Personnel Services,1661595.3,0.0,0.0,0.0
59,Equity & Inclusion Cabinet,Office Of Equity,Equity & Inclusion,Contractual Services,1187521.92,0.0,0.0,0.0
60,Equity & Inclusion Cabinet,Office Of Equity,Equity & Inclusion,Supplies & Materials,9694.27,0.0,0.0,0.0
61,Equity & Inclusion Cabinet,Office Of Equity,Equity & Inclusion,Current Charges & Obligations,4031.87,0.0,0.0,0.0
62,Equity & Inclusion Cabinet,Office Of Equity,Equity & Inclusion,Equipment,11692.09,0.0,0.0,0.0
63,Equity & Inclusion Cabinet,Office Of Diversity,Diversity,Personnel Services,193721.87,0.0,0.0,0.0
64,Equity & Inclusion Cabinet,Office Of Diversity,Diversity,Contractual Services,40655.58,0.0,0.0,0.0
